,ASYNC_MINUS_300,ASYNC_MINUS_267,ASYNC_MINUS_200,ASYNC_MINUS_133,ASYNC_MINUS_100,ASYNC_MINUS_67,ASYNC_0,ASYNC_PLUS_67,ASYNC_PLUS_100,ASYNC_PLUS_133,ASYNC_PLUS_200,ASYNC_PLUS_267,ASYNC_PLUS_300,ASYNC_PLUS_400,ASYNC_PLUS_500
0,5,4,5,4,3,3,4,5,4,5,5,6,3,3,4
1,4,4,4,3,2,4,6,6,5,4,3,4,4,4,4
2,4,2,4,6,4,4,3,4,7,6,4,7,4,3,3
3,5,3,3,4,2,4,5,6,4,4,4,4,3,3,6
4,1,4,3,5,5,5,6,3,6,5,6,3,4,7,3
5,5,4,2,0,1,3,4,6,3,5,4,6,2,5,5
6,3,2,4,2,4,6,5,6,4,6,7,4,4,5,2
7,5,3,2,5,5,4,3,5,6,6,3,2,7,4,5
8,6,5,3,4,7,6,0,4,4,2,3,3,4,3,5
9,4,7,6,6,4,3,3,6,4,4,5,5,4,6,4
10,3,6,6,4,3,5,4,6,6,6,3,4,5,4,4
11,2,5,5,5,6,4,5,3,3,5,4,3,5,5,3
12,2,4,3,3,6,4,4,3,6,5,5,2,2,4,0
13,4,4,3,3,4,4,4,3,0,7,5,4,4,6,5
14,5,2,3,5,5,4,6,5,4,4,5,2,6,5,5
15,5,5,2,5,4,4,2,7,4,5,4,3,5,3,4
16,3,3,3,1,6,3,6,5,4,7,4,6,5,2,0
17,3,5,3,7,4,2,3,5,3,3,5,4,3,3,2
18,4,4,2,5,6,5,2,3,6,6,5,5,3,3,6
19,5,2,8,3,5,4,6,2,5,4,8,5,4,4,2
20,4,3,4,5,3,4,6,7,3,4,6,1,4,3,4
21,2,3,5,3,4,3,2,4,5,5,4,7,4,5,4
22,4,3,5,6,2,3,7,6,4,4,6,5,6,5,2
23,3,3,5,3,4,5,4,3,7,4,5,2,2,3,5
24,5,6,6,7,5,6,6,3,4,5,3,2,4,3,5
25,6,4,2,3,5,5,3,3,5,5,4,6,4,5,5
26,2,5,3,5,4,6,6,3,7,5,6,1,5,3,1
27,4,2,3,5,3,4,5,6,5,5,4,5,2,4,5
28,4,4,3,4,4,4,4,4,4,5,3,4,3,4,5
29,3,4,4,3,4,3,6,4,4,3,4,4,6,3,4
30,5,6,4,3,4,3,4,6,4,6,3,5,6,5,3
31,4,2,2,3,4,5,2,4,6,2,4,8,5,2,2
32,6,3,3,2,4,2,0,3,4,5,5,4,4,5,4
33,4,3,4,2,4,5,4,4,4,4,5,5,3,3,4
34,3,3,2,4,1,7,2,3,4,5,4,5,3,1,4
35,2,3,4,6,6,3,5,5,5,6,4,5,6,4,3
36,5,6,3,4,4,3,3,4,5,3,3,4,3,5,3
37,4,2,3,2,3,1,7,4,4,5,4,5,2,3,3
38,1,2,5,4,4,3,6,5,5,5,4,5,4,5,3
39,3,5,3,5,6,5,5,5,6,5,4,5,3,6,4
40,6,4,7,5,4,5,4,2,6,5,5,5,5,4,7
41,4,3,5,4,3,4,6,3,5,3,5,5,5,3,3
42,3,3,2,4,5,4,3,6,4,0,5,5,3,4,5
43,2,4,5,4,3,8,4,5,3,4,5,3,3,5,2
44,4,5,5,2,3,4,4,5,6,8,7,3,2,5,3
45,2,3,5,3,3,5,5,5,5,5,5,2,4,4,7
46,3,3,3,5,4,2,6,7,2,3,4,3,4,0,2
47,4,3,4,2,3,2,5,6,4,3,3,5,4,4,4
48,7,5,3,4,4,4,5,3,5,5,4,3,2,3,6
49,3,5,6,4,4,6,5,6,5,5,5,7,5,4,5
