PARTICIPANT_ID,PC1_MS,SENS_NOISE_MS,SIGMA1_MS,MU2_MS,SIGMA2_MS,NLL_MS,PC1_PM,SENS_NOISE_PM,SIGMA1_PM,MU2_PM,SIGMA2_PM,NLL_PM,CHOSEN STRATEGY
1,4.23E-01,3.04E+02,2.88E+02,-5.93E+01,1.40E+02,-57.58852051,0.61067688,261.259879,284.4502589,324.5344688,314.7521193,-48.41244106,MODEL SELECTION
2,0.56132367,160.9493047,369.9021128,-166.2844142,246.0074571,-49.69981059,5.91E-01,3.09E+02,2.03E+02,-5.61E+01,3.16E+02,-47.22969291,N/A
3,3.03E-01,1.23E+01,1.03E+02,-1.04E+02,4.51E+02,-54.0729288,0.5596703,191.0830666,433.1242988,-224.3117199,21.16392275,-46.23436933,MODEL SELECTION
4,0.69163953,320.8795451,156.5081422,-422.0430711,324.8292725,-50.85208001,4.00E-01,2.42E+02,4.98E+02,1.33E+02,3.59E+02,-44.95309104,MODEL SELECTION
5,4.34E-01,3.64E+02,3.21E+02,-2.20E+02,4.71E+02,-51.53779856,0.45871044,148.9645538,343.5636371,-163.6094432,111.772591,-43.57204182,MODEL SELECTION
6,0.32925667,259.0696578,132.3090832,-154.8068726,259.8407211,-54.12091125,0.58784512,310.2119213,417.4350659,67.1765693,449.9259083,-49.56700663,MODEL SELECTION
7,0.53329196,220.4199757,132.7208095,394.7272485,284.7412271,-50.12912947,4.13E-01,3.72E+02,3.56E+02,4.74E+02,8.35E+01,-44.12695822,MODEL SELECTION
8,0.56454257,489.8536088,72.39785955,277.8765796,336.0733136,-53.49562101,4.23E-01,1.21E+02,3.41E+02,-1.05E+02,4.61E+02,-46.72921898,MODEL SELECTION
9,0.43026637,208.8241708,19.87972406,-362.7249704,350.8468513,-62.45270829,0.65234937,272.9202933,218.153654,340.1537145,102.0916784,-50.88351465,MODEL SELECTION
10,0.58328516,269.3929105,119.883831,215.7242068,253.6781732,-65.59553817,0.64428937,334.4481002,479.8219272,-412.6936488,369.6666366,-60.66254193,MODEL SELECTION
11,4.47E-01,2.29E+02,5.96E+01,2.06E+02,4.52E+02,-58.67653798,0.35548579,91.71619561,261.0876836,-239.5358505,51.24035728,-48.05213916,MODEL SELECTION
12,0.58894901,18.45297059,415.1421742,-73.67977788,22.78907395,-55.18220707,0.47099892,83.03694562,377.8312748,-124.8820791,376.5818043,-50.72148937,MODEL SELECTION
13,0.68984992,341.1940185,404.511838,81.89144292,223.2323558,-46.73104223,0.56455247,149.0799245,41.1880806,407.2992927,129.6196877,-37.47539264,MODEL SELECTION
